Value,BpS_Code,Zone,BpS_Model,BpS_Name,GroupID,GroupModel,GroupName,GroupVeg,R,G,B,Red,Green,Blue
-9999,-9999,"na","na","No Data",-9999,"na","No Data","No Data",0,0,0,0.000000,0.000000,0.000000
11,11,"na","na","Open Water",11,"na","Open Water","Open Water",0,92,230,0.000000,0.360784,0.901961
12,12,"na","na","Perrennial Ice/Snow",12,"na","Perrennial Ice/Snow","Perrennial Ice/Snow",255,255,255,1.000000,1.000000,1.000000
31,31,"na","na","Barren-Rock/Sand/Clay",31,"na","Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",0,0,0,0.000000,0.000000,0.000000
414,10010,"10","1010010","Inter-Mountain Basins Sparsely Vegetated Systems",100,"0000100","Sparsely Vegetated","Sparse",255,255,190,1.000000,1.000000,0.745098
415,10060,"10","1010060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems",100,"0000100","Sparsely Vegetated","Sparse",78,78,78,0.305882,0.305882,0.305882
416,10110,"10","1010110","Rocky Mountain Aspen Forest and Woodland",102,"0000102","Quaking Aspen-4","Hardwood",255,255,115,1.000000,1.000000,0.450980
417,10451,"10","1010451","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir",135,"0000135","Ponderosa Pine-Douglas Fir-1","Conifer",200,209,255,0.784314,0.819608,1.000000
418,10452,"10","1010452","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch",136,"0000136","Western Larch-Douglas Fir-3","Conifer",150,36,181,0.588235,0.141176,0.709804
419,10453,"10","1010453","Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir",137,"0000137","Grand Fir-Douglas Fir-Beargrass-3","Conifer",230,5,8,0.901961,0.019608,0.031373
420,10460,"10","1010460","Northern Rocky Mountain Subalpine Woodland and Parkland",139,"0000139","Whitebark Pine-3","Conifer",255,170,0,1.000000,0.666667,0.000000
421,10471,"10","1010471","Northern Rocky Mountain Mesic Montane Mixed Conifer Forest",141,"0000141","Grand Fir-Douglas Fir-Western Red Cedar-3","Conifer",95,147,229,0.372549,0.576471,0.898039
422,10472,"10","1010472","Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves",142,"0000142","Western Red Cedar-5","Conifer",18,144,84,0.070588,0.564706,0.329412
423,10530,"10","1010530","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",150,"0000150","Ponderosa Pine-1","Conifer",168,85,0,0.658824,0.333333,0.000000
424,10550,"10","1010550","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",153,"0000153","Engelman Spruce-Subalpine Fir-4","Conifer",211,255,190,0.827451,1.000000,0.745098
425,10560,"10","1010560","Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",155,"0000155","Engelman Spruce-Subalpine Fir-Menziesia-4","Conifer",56,168,0,0.219608,0.658824,0.000000
426,10620,"10","1010620","Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",164,"0000164","Curlleaf Mountain Mahogany-Mountain Big Sagebrush-3","Shrubland",191,19,230,0.749020,0.074510,0.901961
427,10650,"10","1010650","Columbia Plateau Scabland Shrubland",167,"0000167","Low Sage-Scabland Sage-5","Shrubland",190,255,232,0.745098,1.000000,0.909804
428,10700,"10","1010700","Rocky Mountain Alpine Dwarf-Shrubland",170,"0000170","Heather Moss-Arctic Willow-5","Shrubland",19,118,92,0.074510,0.462745,0.360784
429,10790,"10","1010790","Great Basin Xeric Mixed Sagebrush Shrubland",177,"0000177","Black Sage-Low Sage-3","Shrubland",57,194,207,0.223529,0.760784,0.811765
430,10800,"10","1010800","Inter-Mountain Basins Big Sagebrush Shrubland",182,"0000182","Wyoming Big Sage-Rubber Rabbitbrush-4","Shrubland",255,190,232,1.000000,0.745098,0.909804
431,11060,"10","1011060","Northern Rocky Mountain Montane-Foothill Deciduous Shrubland",205,"0000205","Serviceberry-Common Snowberry-Rocky Mountain Maple-4","Shrubland",137,68,80,0.537255,0.266667,0.313726
432,11150,"10","1011150","Inter-Mountain Basins Juniper Savanna",212,"0000212","Western Juniper-Utah Juniper-3","Conifer",137,112,68,0.537255,0.439216,0.266667
