VALUE,CLASSNAMES,R,G,B,RED,GREEN,BLUE
11,Open Water,0,0,255,0,0,1
12,Snow/Ice,159,161,240,0.623529412,0.631372549,0.941176471
20,Developed - General,255,235,224,1,0.921568627,0.878431373
21,Developed - Open Space,253,204,211,0.992156863,0.8,0.82745098
22,Developed - Low Intensity,255,122,143,1,0.478431373,0.560784314
23,Developed - Medium Intensity,253,44,79,0.992156863,0.17254902,0.309803922
24,Developed - High Intensity,173,0,28,0.678431373,0,0.109803922
31,Barren,191,191,191,0.749019608,0.749019608,0.749019608
32,Quarries-Strip Mines-Gravel Pits,230,232,250,0.901960784,0.909803922,0.980392157
80,Agriculture - General,255,255,191,1,1,0.749019608
81,Pasture/Hay,255,255,156,1,1,0.611764706
82,Cultivated Crops,255,255,120,1,1,0.470588235
83,Small Grains,255,255,84,1,1,0.329411765
84,Fallow,255,255,43,1,1,0.168627451
85,Urban-Recreational Grasses,255,255,0,1,1,0
100,Sparse Vegetation Canopy,122,127,117,0.478431373,0.498039216,0.458823529
101,Tree Cover >= 10 and < 20%,204,255,153,0.8,1,0.6
102,Tree Cover >= 20 and < 30%,174,224,130,0.682352941,0.878431373,0.509803922
103,Tree Cover >= 30 and < 40%,145,196,108,0.568627451,0.768627451,0.423529412
104,Tree Cover >= 40 and < 50%,119,171,87,0.466666667,0.670588235,0.341176471
105,Tree Cover >= 50 and < 60%,94,145,68,0.368627451,0.568627451,0.266666667
106,Tree Cover >= 60 and < 70%,70,120,50,0.274509804,0.470588235,0.196078431
107,Tree Cover >= 70 and < 80%,51,99,36,0.2,0.388235294,0.141176471
108,Tree Cover >= 80 and < 90%,32,79,22,0.125490196,0.309803922,0.08627451
109,Tree Cover >= 90 and <= 100%,0,51,0,0,0.2,0
111,Shrub Cover >= 10 and < 20%,212,178,125,0.831372549,0.698039216,0.490196078
112,Shrub Cover >= 20 and < 30%,209,161,113,0.819607843,0.631372549,0.443137255
113,Shrub Cover >= 30 and < 40%,204,145,102,0.8,0.568627451,0.4
114,Shrub Cover >= 40 and < 50%,199,126,90,0.780392157,0.494117647,0.352941176
115,Shrub Cover >= 50 and < 60%,194,110,79,0.760784314,0.431372549,0.309803922
116,Shrub Cover >= 60 and < 70%,189,94,70,0.741176471,0.368627451,0.274509804
117,Shrub Cover >= 70 and < 80%,181,76,60,0.709803922,0.298039216,0.235294118
118,Shrub Cover >= 80 and < 90%,176,59,51,0.690196078,0.231372549,0.2
119,Shrub Cover >= 90 and <= 100%,158,0,32,0.619607843,0,0.125490196
121,Herb Cover >= 10 and < 20%,255,204,102,1,0.8,0.4
122,Herb Cover >= 20 and < 30%,255,186,89,1,0.729411765,0.349019608
123,Herb Cover >= 30 and < 40%,255,169,77,1,0.662745098,0.301960784
124,Herb Cover >= 40 and < 50%,255,154,66,1,0.603921569,0.258823529
125,Herb Cover >= 50 and < 60%,255,134,54,1,0.525490196,0.211764706
126,Herb Cover >= 60 and < 70%,255,117,43,1,0.458823529,0.168627451
127,Herb Cover >= 70 and < 80%,255,100,33,1,0.392156863,0.129411765
128,Herb Cover >= 80 and < 90%,255,85,23,1,0.333333333,0.090196078
129,Herb Cover >= 90 and <= 100%,255,51,0,1,0.2,0
150,Sparse Vegetation Canopy,122,127,117,0.478431373,0.498039216,0.458823529
151,Tree Canopy >= 10 and < 25%,204,255,153,0.8,1,0.6
152,Tree Canopy >= 25 and < 60%,70,120,50,0.274509804,0.470588235,0.196078431
153,Tree Canopy >= 60 and <= 100%,0,51,0,0,0.2,0
161,Shrub Canopy >= 10 and < 25%,212,178,125,0.831372549,0.698039216,0.490196078
162,Shrub Canopy >= 25 and < 60%,194,110,79,0.760784314,0.431372549,0.309803922
163,Shrub Canopy >= 60 and <= 100%,158,0,32,0.619607843,0,0.125490196
171,Herb Canopy >= 10 and < 60%,255,169,77,1,0.662745098,0.301960784
172,Herb Canopy >= 60 and <= 100%,255,117,43,1,0.458823529,0.168627451
-9999,NoData,255,255,255,1,1,1
