Value,EVT_Name,SystemGroupID,SystemGroupName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,SystemGroupPhysiognomy,r,g,b,Red,Green,Blue
-9999,No Data,-9999,No Data,No Data,No Data,No Data,No Data,No Data,255,255,255,1,1,1
0,None,0,None,NA,NA,N/A,N/A,NA,0,0,0,0,0,0
11,Open Water,11,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0,0,1
12,Snow-Ice,12,Snow-Ice,LF 12: Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,159,161,240,0.623529412,0.631372549,0.941176471
20,Developed-General,20,Developed-General,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,52,52,52,0.203921569,0.203921569,0.203921569
21,Developed-Open Space,21,Developed-Open Space,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,52,52,52,0.203921569,0.203921569,0.203921569
22,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,52,52,52,0.203921569,0.203921569,0.203921569
23,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,52,52,52,0.203921569,0.203921569,0.203921569
24,Developed-High Intensity,24,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,52,52,52,0.203921569,0.203921569,0.203921569
31,Barren,31,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.749019608,0.749019608,0.749019608
32,Quarries-Strip Mines-Gravel Pits,32,Quarries-Strip Mines-Gravel Pits,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated,Developed,191,191,191,0.749019608,0.749019608,0.749019608
80,Agriculture-General,80,Agriculture-General,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid or Annual Gramminoid/Forb,Agricultural,255,255,119,1,1,0.466666667
81,Agriculture-Pasture and Hay,81,Agriculture-Pasture and Hay,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,Agricultural,255,255,119,1,1,0.466666667
82,Agriculture-Cultivated Crops and Irrigated Agriculture,82,Agriculture-Cultivated Crops and Irrigated Agriculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,Agricultural,255,255,119,1,1,0.466666667
83,Agriculture-Small Grains,83,Agriculture-Small Grains,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,Agricultural,255,255,119,1,1,0.466666667
84,Agriculture-Fallow,84,Agriculture-Fallow,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,Agricultural,255,255,119,1,1,0.466666667
85,Agriculture-Urban and Recreational Grasses,85,Agriculture-Urban and Recreational Grasses,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,Agricultural,255,255,119,1,1,0.466666667
200,Unclassified Sparsely Vegetated Systems,200,Unclassified Sparsely Vegetated Systems,NA,NA,NA,NA,NA,0,0,0,0,0,0
201,Unclassified Forest and Woodland,201,Unclassified Forest and Woodland,NA,NA,NA,NA,NA,0,0,0,0,0,0
202,Unclassified Shrubland,202,Unclassified Shrubland,NA,NA,NA,NA,NA,0,0,0,0,0,0
203,Unclassified Upland Herbaceous,203,Unclassified Upland Herbaceous,NA,NA,NA,NA,NA,0,0,0,0,0,0
204,Unclassified Savanna,204,Unclassified Savanna,NA,NA,NA,NA,NA,0,0,0,0,0,0
205,Unclassified Shrub-Steppe,205,Unclassified Shrub-Steppe,NA,NA,NA,NA,NA,0,0,0,0,0,0
206,Unclassified Grassland,206,Unclassified Grassland,NA,NA,NA,NA,NA,0,0,0,0,0,0
207,Unclassified Wetland-Riparian Herbaceous,207,Unclassified Wetland-Riparian Herbaceous,NA,NA,NA,NA,NA,0,0,0,0,0,0
2001,Inter-Mountain Basins Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2002,Mediterranean California Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2003,North Pacific Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2004,North American Warm Desert Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2005,Pacific Coastal Dunes and Other Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2007,Western Great Plains Sparsely Vegetated Systems,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,Sparsely Vegetated,100,100,100,0.392156863,0.392156863,0.392156863
2008,North Pacific Oak Woodland,629,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Hardwood,203,255,171,0.796078431,1,0.670588235
2009,Northwestern Great Plains Aspen Forest and Parkland,602,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Hardwood,192,255,138,0.752941176,1,0.541176471
2010,Northern Rocky Mountain Western Larch Savanna,644,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Conifer,180,255,148,0.705882353,1,0.580392157
2011,Rocky Mountain Aspen Forest and Woodland,602,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Hardwood,192,255,138,0.752941176,1,0.541176471
2012,Rocky Mountain Bigtooth Maple Ravine Woodland,605,Bigtooth Maple Woodland,SRM 418: Bigtooth Maple,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Hardwood,171,255,138,0.670588235,1,0.541176471
2013,Western Great Plains Dry Bur Oak Forest and Woodland,659,Bur Oak Woodland and Savanna,SAF 236: Bur Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,Hardwood,6,53,122,0.023529412,0.207843137,0.478431373
2014,Central and Southern California Mixed Evergreen Woodland,626,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,145,255,115,0.568627451,1,0.450980392
2015,California Coastal Redwood Forest,634,Redwood Forest and Woodland,SAF 232: Redwood,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,135,255,105,0.529411765,1,0.411764706
2016,Colorado Plateau Pinyon-Juniper Woodland,630,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,121,255,94,0.474509804,1,0.368627451
2017,Columbia Plateau Western Juniper Woodland and Savanna,620,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,108,255,82,0.423529412,1,0.321568627
2018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,Conifer,96,255,71,0.376470588,1,0.278431373
2019,Great Basin Pinyon-Juniper Woodland,630,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,78,255,59,0.305882353,1,0.231372549
2020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,621,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,63,255,46,0.247058824,1,0.180392157
2021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,645,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,42,255,31,0.164705882,1,0.121568627
2022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,645,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,224,252,192,0.878431373,0.988235294,0.752941176
2023,Madrean Encinal,696,Juniper-Oak,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer-Hardwood,0,237,0,0,0.929411765,0
2024,Madrean Lower Montane Pine-Oak Forest and Woodland,610,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer-Hardwood,0,237,0,0,0.929411765,0
2025,Madrean Pinyon-Juniper Woodland,630,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,121,255,94,0.474509804,1,0.368627451
2026,Madrean Upper Montane Conifer-Oak Forest and Woodland,610,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer-Hardwood,0,237,0,0,0.929411765,0
2027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,Conifer,0,222,0,0,0.870588235,0
2028,Mediterranean California Mesic Mixed Conifer Forest and Woodland,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,Conifer,0,204,0,0,0.8,0
