Value,FCCS_Region,FCCS_Name,r,g,b,RED,GREEN,BLUE
-9999,NoData,NoData,255,255,255,1,1,1
1,Pacific Northwest,Black Cottonwood - Douglas-fir - Quaking Aspen Riparian Forest,50,137,168,0.196078431,0.537254902,0.658823529
2,Pacific Northwest,Western Hemlock - Western Redcedar - Douglas-fir Forest,0,82,0,0,0.321568627,0
3,Pacific Northwest,Douglas-fir Forest,0,51,0,0,0.2,0
4,Pacific Northwest,Douglas-fir / Ceanothus Forest,0,51,0,0,0.2,0
5,Pacific Northwest,Douglas-fir - White Fir Forest,0,51,0,0,0.2,0
6,Pacific Northwest,Oregon White Oak - Douglas-fir Forest,0,51,0,0,0.2,0
7,Pacific Northwest,Douglas-fir - Sugar Pine - Tanoak Forest,0,51,0,0,0.2,0
8,Pacific Northwest,Western Hemlock - Douglas-fir - Western Redcedar / Vine Maple Forest,0,82,0,0,0.321568627,0
9,Pacific Northwest,Douglas-fir - Western Hemlock - Western Redcedar / Vine Maple Forest,0,51,0,0,0.2,0
10,Pacific Northwest,Western Hemlock - Douglas-fir - Sitka Spruce Forest,0,82,0,0,0.321568627,0
11,Pacific Northwest,Douglas-fir / Western Hemlock - Sitka Spruce Forest,0,51,0,0,0.2,0
12,Sierra Nevada,Red Fir - Mountain Hemlock - Lodgepole Pine - White Pine Forest,0,158,0,0,0.619607843,0
13,Pacific Northwest,Mountain Hemlock - Pacific Silver Fir Forest,0,92,0,0,0.360784314,0
14,Sierra Nevada,Black Oak Woodland,0,189,0,0,0.741176471,0
15,Sierra Nevada,Jeffrey Pine - Red Fir - White Fir / Greenleaf Manzanita - Snowbrush Forest,0,51,0,0,0.2,0
16,Sierra Nevada,Jeffery Pine - Ponderosa Pine - Douglas-fir - Black Oak Forest,0,51,0,0,0.2,0
17,Sierra Nevada,Red Fir Forest,0,158,0,0,0.619607843,0
18,Pacific Northwest,Douglas-fir / Oceanspray Forest,0,51,0,0,0.2,0
19,Sierra Nevada,White Fir - Giant Sequoia - Sugar Pine Forest,0,204,0,0,0.8,0
20,Sierra Nevada,Western Juniper / Mountain Mahogany Woodland,25,93,145,0.098039216,0.364705882,0.568627451
21,Rocky Mountain and Central US,Lodgepole Pine Early Seral Forest ,163,240,219,0.639215686,0.941176471,0.858823529
22,Rocky Mountain and Central US,Lodgepole Pine Mature Forest,163,240,219,0.639215686,0.941176471,0.858823529
23,Rocky Mountain and Central US,Lodgepole Pine Mature Forest with Beetle Kill,163,240,219,0.639215686,0.941176471,0.858823529
24,Pacific Northwest,Pacific Ponderosa Pine - Douglas Fir Forest,55,146,173,0.215686275,0.57254902,0.678431373
25,Southwest,Pinyon - Juniper Forest,121,255,94,0.474509804,1,0.368627451
26,Rocky Mountain and Central US,Interior Ponderosa Pine - Limber Pine Forest,0,51,0,0,0.2,0
27,Southwest,Ponderosa Pine - Twoneedle Pinyon - Utah Juniper Forest,55,146,173,0.215686275,0.57254902,0.678431373
28,Rocky Mountain and Central US,Ponderosa Pine Savanna,55,146,173,0.215686275,0.57254902,0.678431373
29,Southwest,Interior Ponderosa Pine - Engelmann Spruce - Douglas-fir Forest,0,51,0,0,0.2,0
30,Southwest,Turbinella Oak - Mountain Mahogany Shrubland,89,59,40,0.349019608,0.231372549,0.156862745
32,Southwest,Ponderosa Pine / Pinyon Pine - Juniper Forest,55,146,173,0.215686275,0.57254902,0.678431373
