Value,Label,R,G,B,Red,Green,Blue
-9999,NODATA,0,0,0,0,0,0
1,0-5 Years,11,0,128,0.043137255,0,0.501960784
2,6-10 Years,56,0,161,0.219607843,0,0.631372549
3,11-15 Years,71,0,135,0.278431373,0,0.529411765
4,16-20 Years,147,0,176,0.576470588,0,0.690196078
5,21-25 Years,191,0,172,0.749019608,0,0.674509804
6,26-30 Years,207,0,138,0.811764706,0,0.541176471
7,31-35 Years,222,0,89,0.870588235,0,0.349019608
8,36-40 Years,240,0,40,0.941176471,0,0.156862745
9,41-45 Years,230,0,0,0.901960784,0,0
10,46-50 Years,255,77,0,1,0.301960784,0
11,51-60 Years,255,132,0,1,0.517647059,0
12,61-70 Years,255,191,0,1,0.749019608,0
13,71-80 Years,255,251,0,1,0.984313725,0
14,81-90 Years,255,246,66,1,0.964705882,0.258823529
15,91-100 Years,255,247,130,1,0.968627451,0.509803922
16,101-125 Years,255,250,196,1,0.980392157,0.768627451
17,126-150 Years,212,222,138,0.831372549,0.870588235,0.541176471
18,151-200 Years,157,191,88,0.615686275,0.749019608,0.345098039
19,201-300 Years,100,161,50,0.392156863,0.631372549,0.196078431
20,301-500 Years,75,140,35,0.294117647,0.549019608,0.137254902
21,501-1000 Years,20,102,0,0.078431373,0.4,0
22,>1000 Years,0,71,0,0,0.278431373,0
111,Water,0,0,255,0,0,1
112,Snow / Ice,200,255,255,0.784313725,1,1
131,Barren,78,78,78,0.305882353,0.305882353,0.305882353
132,Sparsely Vegetated,178,178,178,0.698039216,0.698039216,0.698039216
133,Indeterminate Fire Regime Characteristics,225,225,225,0.882352941,0.882352941,0.882352941
